#!(s),Date,Time,TA_HALL2_ET1,TA_SC2_ET1,CO_SC2_ET1,DBS_SC2_ET1,DBE_SC2_ET1,TA_FAB_LAB_ET1,CO_FAB_LAB_ET1,DBS_FAB_LAB_ET1,DBE_FAB_LAB_ET1,TA_HALL1_ET1
1710486418,15.03.2024,7:06:58,20.3,20.2,0,810,824,19.9,0,551,540,20.4
1710487321,15.03.2024,7:22:01,20.3,20.2,0,842,810,20,0,551,540,20.4
1710488224,15.03.2024,7:37:04,20.3,20,0,810,792,19.8,0,551,540,20.4
1710489127,15.03.2024,7:52:07,20.2,19.9,0,824,810,19.9,0,551,540,20.4
1710490031,15.03.2024,8:07:11,20.2,19.8,0,760,792,21,0,551,540,20.4
1710490934,15.03.2024,8:22:14,20.2,20.2,0,774,907,21.4,0,551,540,20.4
1710491837,15.03.2024,8:37:17,20.3,20.3,0,792,810,21.4,0,540,540,20.5
1710492740,15.03.2024,8:52:20,20.3,20.3,0,792,760,21.2,0,551,540,20.5
1710493643,15.03.2024,9:07:23,20.3,20.3,0,792,727,20.8,0,551,540,20.5
1710494546,15.03.2024,9:22:26,20.3,20.2,0,760,792,20.8,0,540,529,20.5
1710495449,15.03.2024,9:37:29,20.3,20.2,0,774,792,20.8,0,540,540,20.5
1710496353,15.03.2024,9:52:33,20.3,20.3,0,774,842,20.6,0,540,540,20.5
1710497256,15.03.2024,10:07:36,20.4,20.8,0,810,842,20.2,0,551,540,20.5
1710498159,15.03.2024,10:22:39,20.4,21.2,0,810,893,20.5,0,551,540,20.5
1710499062,15.03.2024,10:37:42,20.4,21.6,0,810,842,20.2,0,540,540,20.5
1710499965,15.03.2024,10:52:45,20.4,21.7,0,774,842,20.1,0,540,540,20.5
1710500868,15.03.2024,11:07:48,20.4,21.9,0,810,824,20.3,0,540,540,20.6
1710501771,15.03.2024,11:22:51,20.4,22,0,792,907,20.6,0,540,540,20.6
1710502675,15.03.2024,11:37:55,20.4,21.4,0,792,857,20.3,0,540,540,20.6
1710503578,15.03.2024,11:52:58,20.5,21.2,0,774,842,20.4,0,540,540,20.6
1710504481,15.03.2024,12:08:01,20.5,21,0,774,810,20.4,0,540,540,20.6
1710505385,15.03.2024,12:23:05,20.5,20.8,0,792,842,20.7,0,540,540,20.7
1710506288,15.03.2024,12:38:08,20.5,21.1,0,792,857,20.5,0,540,540,20.7
1710507191,15.03.2024,12:53:11,20.5,21.8,0,774,875,21.6,0,551,540,20.6
1710508094,15.03.2024,13:08:14,20.6,22,0,792,824,20.9,0,540,540,20.6
1710508997,15.03.2024,13:23:17,20.5,22.3,0,810,857,20.7,0,551,529,20.6
1710509901,15.03.2024,13:38:21,20.6,22.2,0,792,857,20.9,0,551,540,20.7
1710510804,15.03.2024,13:53:24,20.6,22.3,0,774,875,20.8,0,551,529,20.7
1710511707,15.03.2024,14:08:27,20.6,22.5,0,792,857,21.3,0,551,529,20.7
1710512610,15.03.2024,14:23:30,20.6,22.6,0,824,940,20.7,0,540,540,20.8
1710513514,15.03.2024,14:38:34,20.6,22.7,0,810,958,20.7,0,551,551,20.7
1710514417,15.03.2024,14:53:37,20.7,22.2,0,774,857,20.9,0,540,551,20.7
1710515320,15.03.2024,15:08:40,20.7,21.6,0,792,875,21.3,0,551,551,20.8
1710516223,15.03.2024,15:23:43,20.6,21.8,0,792,792,21.4,0,540,540,20.7
1710517127,15.03.2024,15:38:47,20.6,21.9,0,792,842,21.2,0,551,551,20.7
1710518030,15.03.2024,15:53:50,20.5,22.1,0,810,857,21.2,0,551,551,20.7
1710518933,15.03.2024,16:08:53,20.5,22.2,0,792,875,21.2,0,540,551,20.7
1710519836,15.03.2024,16:23:56,20.6,21.8,0,792,857,21.2,0,551,540,20.7
1710520739,15.03.2024,16:38:59,20.6,21.4,0,810,842,20.8,0,540,551,20.7
1710521642,15.03.2024,16:54:02,20.5,21,0,792,810,20.8,0,540,540,20.7
1710522546,15.03.2024,17:09:06,20.5,20.8,0,774,875,20.7,0,551,551,20.6
1710523449,15.03.2024,17:24:09,20.5,20.7,0,760,857,20.9,0,540,540,20.6
1710524352,15.03.2024,17:39:12,20.5,20.7,0,774,742,20.9,0,551,551,20.6
1710525255,15.03.2024,17:54:15,20.5,20.6,0,774,893,21,0,551,551,20.7
1710526158,15.03.2024,18:09:18,20.5,20.6,0,774,774,20.9,0,540,540,20.7
1710527061,15.03.2024,18:24:21,20.5,20.5,0,760,824,21,0,540,540,20.6
1710527964,15.03.2024,18:39:24,20.5,20.4,0,810,893,20.8,0,540,540,20.6
1710528868,15.03.2024,18:54:28,20.4,20.3,0,810,792,20.6,0,551,540,20.6
1710529771,15.03.2024,19:09:31,20.4,20.2,0,792,824,20.4,0,540,540,20.6
1710530674,15.03.2024,19:24:34,20.5,20.2,0,774,727,20.4,0,540,540,20.6
1710531577,15.03.2024,19:39:37,20.4,20,0,760,810,20.4,0,551,518,20.6
1710532480,15.03.2024,19:54:40,20.4,20,0,792,659,20.2,0,551,540,20.6
1710533383,15.03.2024,20:09:43,20.4,20.7,0,824,760,19.9,0,551,540,20.5
1710534286,15.03.2024,20:24:46,20.4,20.5,0,810,709,19.6,0,540,540,20.5
1710535190,15.03.2024,20:39:50,20.4,20.4,0,810,842,19.6,0,540,540,20.5
1710536093,15.03.2024,20:54:53,20.4,20.3,0,792,792,19.9,0,551,540,20.5
1710536996,15.03.2024,21:09:56,20.4,20.2,0,810,760,19.5,0,551,540,20.5
1710537899,15.03.2024,21:24:59,20.3,20.2,0,810,760,19.6,0,551,540,20.5
1710538802,15.03.2024,21:40:02,20.3,20.2,0,810,727,19.7,0,551,540,20.5
1710539705,15.03.2024,21:55:05,20.3,20.2,0,792,774,19.7,0,551,551,20.5
1710540608,15.03.2024,22:10:08,20.3,20.2,0,824,742,19,0,551,551,20.5
1710541512,15.03.2024,22:25:12,20.3,20.2,0,810,709,19.6,0,551,540,20.5
1710542415,15.03.2024,22:40:15,20.3,20.2,0,824,824,19.4,0,551,540,20.5
1710543318,15.03.2024,22:55:18,20.3,20.2,0,810,774,19.5,0,540,540,20.4
1710544221,15.03.2024,23:10:21,20.3,20.1,0,824,792,19.6,0,540,551,20.4
1710545124,15.03.2024,23:25:24,20.2,20.2,0,810,760,19.2,0,551,540,20.4
1710546027,15.03.2024,23:40:27,20.3,20.1,0,810,695,19.3,0,551,540,20.4
1710546930,15.03.2024,23:55:30,20.3,20.1,0,824,792,19.5,0,551,540,20.4
1710547833,16.03.2024,0:10:33,20.2,20,0,810,810,19.5,0,551,540,20.4
1710548737,16.03.2024,0:25:37,20.2,20.1,0,810,709,19.6,0,551,540,20.4
1710549640,16.03.2024,0:40:40,20.3,20,0,810,774,19.8,0,551,540,20.4
1710550543,16.03.2024,0:55:43,20.2,20,0,810,695,19.5,0,551,540,20.4
1710551446,16.03.2024,1:10:46,20.2,20.1,0,824,774,19.4,0,551,540,20.4
1710552349,16.03.2024,1:25:49,20.2,20,0,792,774,19.3,0,551,551,20.4
1710553252,16.03.2024,1:40:52,20.2,19.9,0,810,842,19.5,0,540,540,20.4
1710554153,16.03.2024,1:55:53,20.2,19.9,0,810,760,19.2,0,551,540,20.4
